Year,Month,Annual_Average_Inflation
2024,February,7.26
2024,January,7.5
2023,December,7.67
2023,November,7.87
2023,October,8.1
2023,September,8.32
2023,August,8.52
2023,July,8.68
2023,June,8.77
2023,May,8.78
2023,April,8.71
2023,March,8.59
2023,February,8.3
2023,January,7.95
2022,December,7.66
2022,November,7.38
2022,October,7.48
2022,September,6.81
2022,August,6.61
2022,July,6.45
2022,June,6.29
2022,May,6.16
2022,April,6.05
2022,March,6.29
2022,February,6.23
2022,January,6.08
2021,December,5.62
2021,November,6.1
2021,October,6.07
2021,September,5.35
2021,August,5.71
2021,July,5.53
2021,June,5.35
2021,May,5.2
2021,April,4.66
2021,March,5.17
2021,February,5.16
2021,January,5.74
2020,December,5.41
2020,November,5.53
2020,October,5.67
2020,September,5.79
2020,August,5.87
2020,July,6.01
2020,June,6.16
2020,May,6.18
2020,April,6.03
2020,March,5.84
2020,February,5.72
2020,January,5.29
2019,December,5.2
2019,November,5.19
2019,October,5.19
2019,September,5.24
2019,August,5.4
2019,July,5.32
2019,June,5.16
2019,May,5.04
2019,April,4.91
2019,April,4.91
2019,March,4.67
2019,February,4.65
2019,January,4.68
2018,December,4.69
2018,November,4.59
2018,October,4.53
2018,September,4.53
2018,August,4.63
2018,July,4.95
2018,June,5.2
2018,May,5.61
2018,April,6.24
2018,March,6.89
2018,February,7.4
2018,January,7.79
2017,December,7.98
2017,November,8.15
2017,October,8.33
2017,September,8.4
2017,August,8.36
2017,July,8.21
2017,June,8.13
2017,May,7.84
2017,April,7.2
2017,March,6.76
2017,February,6.43
2017,January,6.26
2016,December,6.3
2016,November,6.43
2016,October,6.48
2016,September,6.5
2016,August,6.47
2016,July,6.44
2016,June,6.46
2016,May,6.59
2016,April,6.72
2016,March,6.88
2016,February,6.87
2016,January,6.77
2015,December,6.58
2015,November,6.42
2015,October,6.31
2015,September,6.29
2015,August,6.34
2015,July,6.54
2015,June,6.63
2015,May,6.65
2015,April,6.69
2015,March,6.63
2015,February,6.63
2015,January,6.74
2014,December,6.88
2014,November,6.97
2014,October,7.08
2014,September,7.19
2014,August,7.33
2014,July,7.19
2014,June,7.05
2014,May,6.85
2014,April,6.58
2014,March,6.39
2014,February,6.21
2014,January,6.01
2013,December,5.72
2013,November,5.39
2013,October,5.05
2013,September,4.75
2013,August,4.5
2013,July,4.44
2013,June,4.56
2013,May,4.96
2013,April,5.61
2013,March,6.33
2013,February,7.24
2013,January,8.2
2012,December,9.38
2012,November,10.67
2012,October,12.04
2012,September,13.29
2012,August,14.33
2012,July,15.27
2012,June,15.97
2012,May,16.4
2012,April,16.5
2012,March,16.45
2012,February,15.93
2012,January,15.1
2011,December,14.02
2011,November,12.82
2011,October,11.49
2011,September,10.18
2011,August,9
2011,July,7.88
2011,June,6.88
2011,May,5.96
2011,April,5.2
2011,March,4.49
2011,February,4.05
2011,January,3.93
2010,December,3.96
2010,November,4.02
2010,October,4.12
2010,September,4.4
2010,August,4.69
2010,July,5.03
2010,June,5.43
2010,May,5.85
2010,April,6.32
2010,March,7.03
2010,February,7.88
2010,January,8.64
2009,December,9.24
2009,November,10.24
2009,October,11.42
2009,September,12.41
2009,August,13.42
2009,July,14.35
2009,June,15.11
2009,May,15.93
2009,April,16.72
2009,March,17.07
2009,February,16.87
2009,January,16.56
2008,December,16.27
2008,November,15.25
2008,October,14.13
2008,September,13.02
2008,August,11.92
2008,July,10.83
2008,June,9.86
2008,May,8.7
2008,April,7.32
2008,March,6.13
2008,February,5.32
2008,January,4.69
2007,December,4.27
2007,November,4.45
2007,October,4.48
2007,September,4.57
2007,August,4.6
2007,July,4.57
2007,June,4.46
2007,May,4.47
2007,April,4.69
2007,March,4.99
2007,February,5.55
2007,January,6.08
2006,December,6.39
2006,November,6.12
2006,October,5.94
2006,September,5.7
2006,August,5.57
2006,July,5.73
2006,June,6.33
2006,May,6.95
2006,April,7.77
2006,March,8.61
2006,February,9.01
2006,January,9.36
2005,December,9.87
2005,November,10.89
2005,October,11.99
2005,September,13.24
2005,August,14.53
2005,July,15.34
2005,June,15.1
2005,May,14.61
2005,April,13.76
2005,March,13.07
2005,February,12.6
2005,January,12.27
